"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.0001146","16","2","2","2","0","14 342","0","0","0","10","C:\Anaconda\Lib\__pycache__\heapq.cpython-37.pyc"
"0.0001130","16","2","2","2","0","16 636","0","0","0","10","C:\Anaconda\Lib\__pycache__\site.cpython-37.pyc"
"0.0001104","16","2","2","2","0","13 467","0","0","0","10","C:\Anaconda\Lib\importlib\__pycache__\abc.cpython-37.pyc"
"0.0001088","16","2","2","2","0","12 984","0","0","0","10","C:\Anaconda\Lib\__pycache__\ntpath.cpython-37.pyc"
"0.0001081","14","2","2","2","0","8 762","0","0","0","8","C:\Anaconda\Lib\site-packages\matplotlib-3.0.3-py3.7-nspkg.pth"
"0.0001069","11","2","2","3","0","127 296","0","0","0","4","D:\GoldenDict\ruenru\Ru-En-Smirnitsky_abrv.dsl"
"0.0001066","13","2","2","0","0","0","0","0","0","9","C:\Windows\System32\ru-RU\KernelBase.dll.mui"
"0.0001062","14","2","2","2","0","8 767","0","0","0","8","C:\Anaconda\Lib\site-packages\sphinxcontrib_websupport-1.1.0-py3.7-nspkg.pth"
"0.0001061","14","2","2","2","0","8 822","0","0","0","8","C:\Anaconda\Lib\site-packages\pywin32.pth"
"0.0001059","16","2","2","2","0","9 336","0","0","0","10","C:\Anaconda\Lib\importlib\__pycache__\util.cpython-37.pyc"
"0.0001051","16","2","2","2","0","13 920","0","0","0","10","C:\Anaconda\Lib\__pycache__\warnings.cpython-37.pyc"
"0.0001045","16","2","2","2","0","8 956","0","0","0","10","C:\Anaconda\Lib\__pycache__\types.cpython-37.pyc"
"0.0001042","16","2","2","2","0","3 445","0","0","0","10","C:\Anaconda\Lib\__pycache__\_sitebuiltins.cpython-37.pyc"
"0.0001033","16","2","2","2","0","3 728","0","0","0","10","C:\Anaconda\Lib\__pycache__\genericpath.cpython-37.pyc"
"0.0001033","16","2","2","2","0","3 712","0","0","0","10","C:\Anaconda\Lib\importlib\__pycache__\__init__.cpython-37.pyc"
"0.0001021","16","2","2","2","0","3 389","0","0","0","10","C:\Anaconda\Lib\__pycache__\io.cpython-37.pyc"
"0.0001018","16","2","2","2","0","2 433","0","0","0","10","C:\Anaconda\Lib\encodings\__pycache__\cp1251.cpython-37.pyc"
"0.0001017","16","2","2","2","0","1 229","0","0","0","10","C:\Anaconda\Lib\__pycache__\_bootlocale.cpython-37.pyc"
"0.0001016","16","2","2","2","0","952","0","0","0","10","C:\Anaconda\Lib\importlib\__pycache__\machinery.cpython-37.pyc"
"0.0001011","4","1","1","0","0","0","0","0","0","2","C:\Anaconda\Lib\site-packages\sphinxcontrib\__init__.py"
"0.0001010","16","2","2","2","0","3 853","0","0","0","10","C:\Anaconda\Lib\__pycache__\stat.cpython-37.pyc"
"0.0001005","6","6","0","0","0","0","0","0","0","0","C:\Windows\System32\libcrypto-1_1-x64.dll"
"0.0000998","16","2","2","2","0","1 876","0","0","0","10","C:\Anaconda\Lib\encodings\__pycache__\latin_1.cpython-37.pyc"
"0.0000976","10","2","2","0","0","0","0","0","0","6","C:\Windows\System32\ru-RU\tzres.dll.mui"
